No.,Firstname,Middlename,Lastname,Username,Password,ConfirmPassword,Field,ExpectedResult
1,Linhjhsdjhgfshdgfdhjdgjfhgdhfgshgdfhsdgfhdgfhdgfj,,,,,,Firstname,0
2,Linh,,,,,,Firstname,1
3,,Linhjhsdjhgfshdgfdhjdgjfhgdhfgshgdfhsdgfhdgfhdgfj,,,,,Middlename,0
4,,Hoang,,,,,Middlename,1
5,,,Linhjhsdjhgfshdgfdhjdgjfhgdhfgshgdfhsdgfhdgfhdgfj,,,,Lastname,0
6,,,Nguyen,,,,Lastname,1
7,,,,admin,,,Username,0
8,,,,nhlinh123,,,Username,1
9,,,,,Abc@12,,Password,0
10,,,,,ABC@12345,,Password,0
11,,,,,abc@12345,,Password,0
12,,,,,ABC#efgh,,Password,0
13,,,,,ABCefg1234,,Password,0
14,,,,,ABC@egh123,,Password,1
15,,,,,ABC@egh123,ABC@egh122,ConfirmPassword,0
16,,,,,ABC@egh123,ABC@egh123,ConfirmPassword,1
17,Linh,Hoang,Nguyen,nhlinh123,ABC@egh123,ABC@egh123,All,1
18,Linh,Hoang,Nguyen,nhlinh123,ABC@egh123,ABC@egh123,All,0
